Platform,Party,Bioguide ID,Number of Active Accounts,Max Total Followers,Start of Term,End of Term,First Post,Last Post,Total Posts,Average Post Favorites/Reactions,Average Post Retweets/Shares
facebook,R,A000055,1,22404,1/1/2019,,1/18/2019,5/29/2020,325,108,35
facebook,R,A000360,2,57405,1/1/2019,,1/2/2019,5/31/2020,677,177,23
facebook,R,A000367,2,140238,1/1/2019,,1/1/2019,5/16/2020,57,2197,495
facebook,R,A000369,1,9376,1/1/2019,,1/4/2019,5/18/2020,89,118,18
facebook,D,A000370,2,19146,1/1/2019,,1/1/2019,5/30/2020,612,54,10
facebook,D,A000371,2,11086,1/1/2019,,1/2/2019,5/29/2020,317,137,15
facebook,R,A000372,2,147433,1/1/2019,,1/1/2019,5/28/2020,673,76,14
facebook,R,A000374,2,69133,1/1/2019,,1/1/2019,5/30/2020,1347,503,180
facebook,R,A000375,2,45163,1/1/2019,,1/4/2019,5/29/2020,568,148,26
facebook,D,A000376,2,21259,1/1/2019,,1/1/2019,5/31/2020,1409,102,9
facebook,R,A000377,2,8721,1/1/2019,,1/2/2019,5/29/2020,954,92,11
facebook,D,A000378,2,8354,1/1/2019,,1/2/2019,5/30/2020,1047,63,7
facebook,D,B000490,2,12601,1/1/2019,,1/1/2019,5/29/2020,264,72,17
facebook,D,B000574,1,51637,1/1/2019,,1/2/2019,5/31/2020,408,318,30
facebook,R,B000575,2,64427,1/1/2019,,1/1/2019,5/27/2020,584,198,22
facebook,R,B000755,2,35325,1/1/2019,,1/1/2019,5/30/2020,1651,48,15
facebook,D,B000944,2,227783,1/1/2019,,1/1/2019,5/29/2020,645,1016,440
facebook,R,B001135,1,27914,1/1/2019,,1/1/2019,4/21/2020,83,491,49
facebook,D,B001230,2,170627,1/1/2019,,1/1/2019,5/29/2020,602,438,54
facebook,R,B001236,2,40983,1/1/2019,,1/1/2019,5/28/2020,699,96,15
facebook,R,B001243,2,147926,1/1/2019,,1/2/2019,5/31/2020,1679,635,96
facebook,R,B001248,1,8328,1/1/2019,,1/1/2019,5/29/2020,378,120,15
facebook,R,B001250,1,6687,1/1/2019,,1/5/2019,5/29/2020,87,115,12
facebook,D,B001251,1,10568,1/1/2019,,1/1/2019,5/29/2020,279,80,19
facebook,R,B001257,2,77654,1/1/2019,,1/1/2019,5/31/2020,1527,82,45
facebook,R,B001260,2,56647,1/1/2019,,1/2/2019,5/29/2020,370,302,55
facebook,R,B001261,2,35115,1/1/2019,,1/3/2019,5/29/2020,359,177,26
facebook,D,B001267,2,163858,1/1/2019,,1/1/2019,5/30/2020,1751,448,84
facebook,D,B001270,2,53144,1/1/2019,,1/1/2019,5/31/2020,875,85,26
facebook,R,B001274,2,52824,1/1/2019,,1/2/2019,5/29/2020,533,231,74
facebook,R,B001275,2,28665,1/1/2019,,1/1/2019,5/30/2020,592,69,12
facebook,D,B001277,2,79667,1/1/2019,,1/1/2019,5/29/2020,325,265,30
facebook,D,B001278,2,23675,1/1/2019,,1/1/2019,5/30/2020,679,88,8
facebook,D,B001281,2,45552,1/1/2019,,1/1/2019,5/31/2020,1095,196,39
facebook,R,B001282,2,49197,1/1/2019,,1/4/2019,5/31/2020,686,129,31
facebook,R,B001284,2,40397,1/1/2019,,1/7/2019,5/30/2020,376,68,8
facebook,D,B001285,2,21126,1/1/2019,,1/1/2019,5/29/2020,1191,84,10
facebook,D,B001286,2,52066,1/1/2019,,1/1/2019,5/30/2020,1491,104,14
facebook,D,B001287,2,32702,1/1/2019,,1/1/2019,5/29/2020,401,82,7
facebook,D,B001288,2,2334224,1/1/2019,,1/2/2019,5/31/2020,1505,1424,155
facebook,R,B001289,2,47325,1/1/2019,,1/1/2019,5/30/2020,2930,178,55
facebook,R,B001291,2,66355,1/1/2019,,1/1/2019,5/31/2020,1159,194,55
facebook,D,B001292,2,39886,1/1/2019,,1/1/2019,5/30/2020,1408,235,54
facebook,R,B001295,2,38210,1/1/2019,,1/1/2019,5/31/2020,905,251,40
facebook,D,B001296,2,14727,1/1/2019,,1/1/2019,5/28/2020,585,99,10
facebook,R,B001297,2,32008,1/1/2019,,1/4/2019,5/27/2020,434,138,24
facebook,R,B001298,2,12780,1/1/2019,,1/2/2019,5/31/2020,2166,82,6
facebook,R,B001299,2,24402,1/1/2019,,1/1/2019,5/31/2020,1301,163,31
facebook,D,B001300,1,8331,1/1/2019,,1/1/2019,5/31/2020,896,93,13
facebook,R,B001301,2,21754,1/1/2019,,1/2/2019,5/29/2020,638,255,36
facebook,R,B001302,2,33819,1/1/2019,,1/1/2019,5/31/2020,1741,257,52
facebook,D,B001303,2,23097,1/1/2019,,1/1/2019,5/31/2020,321,179,29
facebook,D,B001304,2,46131,1/1/2019,,1/1/2019,5/31/2020,547,94,21
facebook,R,B001305,2,34349,1/1/2019,,1/1/2019,5/30/2020,1174,174,26
facebook,R,B001306,2,4445,1/1/2019,,1/4/2019,5/31/2020,402,42,4
facebook,R,B001307,2,7352,1/1/2019,,1/4/2019,5/30/2020,420,41,5
facebook,D,B001308,2,28763,1/1/2019,,1/1/2019,5/31/2020,1753,114,11
facebook,R,B001309,2,15492,1/1/2019,,1/3/2019,5/31/2020,483,215,31
facebook,R,B001310,2,67710,1/1/2019,,1/3/2019,5/28/2020,634,468,53
facebook,R,B001311,1,10618,9/17/2019,,9/18/2019,5/30/2020,57,372,113
facebook,R,C000059,2,23929,1/1/2019,,1/1/2019,5/31/2020,201,253,54
facebook,D,C000127,1,55448,1/1/2019,,1/3/2019,5/31/2020,398,425,49
facebook,D,C000141,2,37221,1/1/2019,,1/3/2019,5/28/2020,366,231,30
facebook,D,C000174,2,20215,1/1/2019,,1/4/2019,5/31/2020,477,105,11
facebook,R,C000266,2,14852,1/1/2019,,1/1/2019,5/30/2020,507,76,6
facebook,D,C000537,2,50538,1/1/2019,,1/4/2019,5/30/2020,660,117,25
facebook,D,C000754,2,20323,1/1/2019,,1/3/2019,5/29/2020,495,97,16
facebook,R,C000880,2,14294,1/1/2019,,1/1/2019,5/29/2020,513,77,10
facebook,D,C000984,2,153157,1/1/2019,10/16/2019,1/1/2019,10/3/2019,178,772,83
facebook,R,C001035,2,106603,1/1/2019,,1/2/2019,5/31/2020,1033,199,19
facebook,R,C001047,2,72825,1/1/2019,,1/2/2019,5/31/2020,1752,129,21
facebook,D,C001049,1,3183,1/1/2019,,1/2/2019,5/30/2020,367,77,15
facebook,R,C001051,2,43204,1/1/2019,,1/1/2019,5/31/2020,1095,62,14
facebook,R,C001053,2,27766,1/1/2019,,1/10/2019,5/30/2020,469,65,13
facebook,D,C001055,1,1287,1/1/2019,,1/5/2019,5/30/2020,661,23,2
facebook,R,C001056,2,524629,1/1/2019,,1/1/2019,5/31/2020,1359,442,71
facebook,D,C001059,2,7078,1/1/2019,,1/2/2019,5/31/2020,822,58,9
facebook,D,C001061,2,31789,1/1/2019,,1/3/2019,5/26/2020,340,173,26
facebook,R,C001062,2,12611,1/1/2019,,1/1/2019,5/31/2020,740,56,9
facebook,D,C001063,2,25214,1/1/2019,,1/3/2019,5/31/2020,1053,50,6
facebook,D,C001066,2,16765,1/1/2019,,1/1/2019,5/31/2020,965,55,7
facebook,D,C001067,2,21542,1/1/2019,,1/1/2019,5/31/2020,645,20,4
facebook,D,C001068,2,31110,1/1/2019,,1/1/2019,5/30/2020,991,113,16
facebook,D,C001069,2,25444,1/1/2019,,1/1/2019,5/29/2020,811,80,25
facebook,D,C001070,2,110423,1/1/2019,,1/3/2019,5/31/2020,456,826,104
facebook,D,C001072,2,29115,1/1/2019,,1/1/2019,5/30/2020,406,152,20
facebook,R,C001075,2,116591,1/1/2019,,1/1/2019,5/31/2020,1950,216,37
facebook,D,C001078,2,19085,1/1/2019,,1/2/2019,5/28/2020,241,84,11
